sector,cname,bse_code
sector,cname,bse_code
Const/Bldg Material -  Construction  -  Housing/Industrial,,532334
Batteries -  Batteries  -  Others,,517271
Financial Services -  NBFC  -  Small / Medium,H B Leasing & Finance Company Limited,508956
Others -  Miscella  -  Others,H B Portfolio Limited,532333
Financial Services -  Investment,H B Portfolio Limited,532216
IT -  Software  -  Large,H C L Technologies Limited,532281
Banks -  PrivateBSE,H C L Technologies Limited,532281
Chemicals -  Chlor - alkali,H C L Technologies Limited,530117
Diversified -  Small / Medium,H C L Technologies Limited,23413
Glass -  Glass,Haldyn Glass Gujarat Limited,515147
Non Ferrous Metals -  Aluminium,Hamco Mining & Smelting Limited,176
Non Ferrous Metals -  Aluminium,Hamco Mining & Smelting Limited,3839
Non Ferrous Metals -  Aluminium,Hamco Mining & Smelting Limited,26383
Financial Services -  MFs (Asset Management Companies),Hang Seng BeES - Growth,590113
Financial Services -  MFs (Asset Management Companies),Hang Seng BeES - Growth,514308
Plastic Processing -  Furniture/Thermoware & Home Products,Hansaflon Plasto Chem Limited,26079
Plantation -  Tea and Coffee,Hansaflon Plasto Chem Limited,19580
Plantation -  Tea and Coffee,Hansaflon Plasto Chem Limited,532770
Housing Finance -  Housing Finance,Hansaflon Plasto Chem Limited,31451
IT -  Software  -  Small/Medium,Hansaflon Plasto Chem Limited,31094
Diversified -  Small / Medium,Hardcastle & Waud Mfg Company Limited,509597
Others -  Miscella  -  Others,Hardcastle & Waud Mfg Company Limited,31971
Textile -  Textiles  -  Others,Haria Exports Limited,512604
Others,Harisiddha Trading and Finance Limited,12183
Auto Ancillaries -  Auto Ancillaries  -  Others,Harita Seating Systems Limited,590043
Steel -  Steel  -  Others,Hariyana Metals Limited,6024
Engineering -  Heavy  -  General (CM),Hariyana Ship Breakers Limited,526931
Pharmaceuticals -  Bulk Drugs and Formulations,Harley Street Pharmaceuticals Limited,524082
Plantation -  Plantation  -  Others,Harrisons Malayalam Limited,500467
Petrochemicals -  Petrochemicals  -  Others,Harrisons Malayalam Limited,14370
Others -  Miscella  -  Others,Harvic Management Services (India) Limited,11613
Financial Services -  Investment,Haryana Capfin Limited,532855
Financial Services -  Financial Services  -  Others,Haryana Financial Corporation Limited,530927
Chemicals -  Speciality Chemicals,Haryana Leather Chemicals Limited,524080
Textile -  Textiles  -  Others,Haryana Leather Chemicals Limited,6940
Others -  Miscella  -  Others,Haryana Sheet Glass Limited,15143
Textile -  Textiles  -  Others,Haryana Texprints (Overseas) Limited,14296
Financial Services -  NBFC  -  Small / Medium,Hasti Finance Limited,531387
Media and Entertainment -  Media and Entertainment  -  Others,Hathway Cable and Datacom Limited,533162
Plantation -  Tea and Coffee,Hatigor Tea Estates Limited,31059
Plantation -  Tea and Coffee,Hatigor Tea Estates Limited,531531
Engineering -  Electrical Equipment,Havell`S India Limited,517354
Others -  Miscella  -  Others,Havell`S India Limited,508486
Real Estate -  Real Estate,Hazoor Multi Projects Limited,532467
Engineering -  Engineering  -  Others,Heatshrink Technologies Limited,22130
Steel -  Steel  -  Others,Heera Ispat Limited,26967
Cement -  Cement,HeidelbergCement India Limited,500292
sector,cname,bse_code
Engineering -  Electrical Equipment,,517514
Media and Entertainment -  Publishing,,533151
Real Estate -  Real Estate,D B Realty Limited,533160
Financial Services -  NBFC  -  Small / Medium,D C L Finance Limited,11041
Textile -  Composite  -  Cotton/Blends,D C M Limited,502820
Diversified -  Large,D C M Limited,523367
Diversified -  Large,D C M Shriram Industries Limited,523369
Diversified -  Large,D C M Shriram Industries Limited,500117
Food Products -  Processed Foods,D F M Foods Limited,519588
Financial Services -  Investment,D F M Foods Limited,9695
Financial Services -  Investment,D F M Foods Limited,531306
Pharmaceuticals -  Formulations,D I L Limited,506414
Real Estate -  Real Estate,D I L Limited,532868
IT -  Hardware,D I L Limited,533146
Plantation -  Tea and Coffee,D P I L Limited,8197
Plantation -  Tea and Coffee,D P I L Limited,NA
Textile -  Textiles  -  Others,D R Softech & Industries Limited,21125
Others -  Miscella  -  Others,D R Softech & Industries Limited,26677
Others -  Miscella  -  Others,D R Softech & Industries Limited,523890
Financial Services -  Investment,D R Softech & Industries Limited,9516
IT -  Software  -  Large,D S Q Software Limited,23864
"Automobiles -  Passenger Cars, Utility Vehicles",Daewoo Motors India Limited,100
"Automobiles -  Passenger Cars, Utility Vehicles",Daewoo Motors India Limited,505426
Others -  Miscella  -  Others,Dahyabhai Sons Limited,12113
Dye Stuff -  Dye Stuff,Daikaffil Chemicals India Limited,530825
Financial Services -  Investment,Dalal Street Investments Limited,501148
Cement -  Cement,Dalmia Cement (Bharat) Limited,500097
Cement -  Cement,Dalmia Cement (Bharat) Limited,19393
Textile -  Textiles  -  Others,Damodar Threads Limited,521220
IT -  Software  -  Small/Medium,Danlaw Technologies India Limited,532329
IT -  Software  -  Small/Medium,Danlaw Technologies India Limited,26249
Financial Services -  NBFC  -  Small / Medium,Database Finance Limited,32099
IT -  Hardware,Database Finance Limited,17473
IT -  Software  -  Small/Medium,Datasoft Application Software (India) Limited,26443
