RELIANCE.BO,RELIANCE INDUSTRIES LTD.
ADANIPOWER.BO,ADANI POWER LTD.
TIMETECHNO.BO,TIME TECHNOPLAST LTD.
RENUKA.BO,SHREE RENUKA SUGARS LTD.
GCMSECU.BO,GCM SECURITIES LTD
FSL.BO,FIRSTSOURCE SOLUTIONS LTD.
IBREALEST.BO,INDIABULLS REAL ESTATE LTD.
AXISBANK6.BO,AXIS BANK LTD
IFCI.BO,IFCI LTD.
L&TFH.BO,L&T FINANCE HOLDINGS LTD.
RICOAUTO.BO,RICO AUTO INDUSTRIES LTD.
IDFC6.BO,IDFC LTD
JSWENERGY.BO,JSW ENERGY LTD
TV18BRDCST.BO,TV18 BROADCAST LTD.
DRDATSONS.BO,DR.DATSONS LABS LIMITED
ATLINFRA.BO,ATLANTA INFRASTRUCTURE AND FIN
PSITINFRA.BO,PS IT INFRASTRUCTURE & SERVICE
MASTEK.BO,MASTEK LTD.
JAICORPLTD.BO,JAI CORP LTD.
UNIONBANK.BO,UNION BANK OF INDIA
JPINFRATEC.BO,JAYPEE INFRATECH LTD
BAJAJHIND.BO,BAJAJ HINDUSTHAN LTD.
TATAMETALI.BO,TATA METALIKS LTD.
RELINFRA.BO,RELIANCE INFRASTRUCTURE LTD.
BSLIMITED.BO,BS LTD.
CROMPGREAV.BO,CROMPTON GREAVES LTD.
NOCIL.BO,NOCIL LTD.
ANGL.BO,ANGELS ENTERPRISES LTD
JINDALSAW.BO,JINDAL SAW LTD.
FRL.BO,FUTURE RETAIL LTD.
PUNJLLOYD.BO,PUNJ LLOYD LTD.
ORICON.BO,ORICON ENTERPRISES LTD.
ITC.BO,ITC LTD.
SWANENERGY.BO,SWAN ENERGY LTD.
WOCKPHARMA.BO,WOCKHARDT LTD.
SSLT.BO,SESA STERLITE LIMITED
PFS.BO,PTC INDIA FINANCIAL SERVICES L
VAKRANGEE.BO,VAKRANGEE LIMITED
PTC.BO,PTC INDIA LTD.
HCL-INSYS.BO,HCL INFOSYSTEMS LTD.
APOLLOTYRE.BO,APOLLO TYRES LTD.
LINCOPH.BO,LINCOLN PHARMACEUTICALS LTD.
YBRANTDIGI.BO,YBRANT DIGITAL LIMITED
INDIACEM.BO,INDIA CEMENTS LTD.
ONGC.BO,OIL AND NATURAL GAS CORPORATIO
IDBI.BO,IDBI BANK LTD.
BANKINDIA.BO,BANK OF INDIA
BHARTIARTL.BO,BHARTI AIRTEL LTD.
ICICIBANK.BO,ICICI BANK LTD.
LICHSGFIN.BO,LIC HOUSING FINANCE LTD.
